,target
2242,NEU
2243,NEU
2244,NEG
2245,NEG
2246,NEG
2247,NEG
2248,NEU
2249,NEG
2250,NEG
2251,NEG
2252,NEG
2253,NEU
2254,NEU
2255,NEG
2256,NEG
2257,NEG
2258,NEG
2259,NEG
2260,NEG
2261,NEU
2262,NEG
2263,NEG
2264,NEG
2265,NEG
2266,NEG
2267,NEG
2268,NEG
2269,POS
2270,NEU
2271,POS
2272,POS
2273,NEU
2274,NEU
2275,NEU
2276,NEU
2277,NEG
2278,NEG
2279,NEG
2280,NEG
2281,NEG
2282,NEG
2283,NEG
2284,NEG
2285,NEG
2286,NEU
2287,NEU
2288,NEU
2289,NEU
2290,NEG
2291,NEG
2292,NEG
2293,NEG
2294,POS
2295,NEG
2296,NEG
2297,NEG
2298,NEG
2299,NEG
2300,NEU
2301,NEG
2302,NEG
2303,NEG
2304,NEG
2305,NEG
2306,NEG
2307,POS
2308,NEG
2309,NEU
2310,NEU
2311,NEG
2312,NEG
2313,NEG
2314,NEU
2315,NEU
2316,NEU
2317,NEU
2318,POS
2319,NEG
2320,NEG
2321,NEG
2322,NEU
2323,NEU
2324,NEU
2325,NEG
2326,NEG
2327,NEG
2328,NEG
2329,NEG
2330,NEU
2331,NEU
2332,NEU
2333,NEG
2334,NEG
2335,NEG
2336,NEG
2337,NEG
2338,NEG
2339,NEG
2340,NEG
2341,NEG
2342,NEG
2343,NEG
2344,NEG
2345,NEG
2346,NEG
2347,NEG
2348,NEG
2349,NEG
2350,NEG
2351,NEG
2352,NEG
2353,NEG
2354,NEG
2355,NEG
2356,NEG
2357,NEG
2358,NEG
2359,NEG
2360,NEG
2361,NEG
2362,NEU
2363,NEG
2364,NEG
2365,NEG
2366,POS
2367,NEG
2368,NEG
2369,POS
2370,POS
2371,NEG
2372,NEG
2373,NEG
2374,NEG
2375,NEU
2376,NEG
2377,NEG
2378,NEU
2379,NEG
2380,NEG
2381,NEG
2382,NEU
2383,POS
2384,NEU
2385,NEU
2386,NEU
2387,NEG
2388,NEG
2389,NEG
2390,NEG
2391,NEG
2392,NEG
2393,NEG
2394,NEG
2395,NEU
2396,NEU
2397,NEU
2398,NEU
2399,NEU
2400,NEU
2401,NEU
2402,NEU
2403,POS
2404,POS
2405,POS
2406,POS
2407,POS
2408,NEU
2409,POS
2410,POS
2411,POS
2412,NEU
2413,NEU
2414,NEU
2415,POS
2416,POS
2417,POS
2418,POS
2419,NEG
2420,NEG
2421,NEG
2422,NEG
2423,NEU
2424,NEG
2425,NEU
2426,NEG
2427,NEG
2428,NEG
2429,NEG
2430,NEG
2431,NEG
2432,NEG
2433,NEG
2434,NEU
2435,NEU
2436,POS
2437,POS
2438,POS
2439,NEU
2440,NEU
2441,POS
2442,NEU
2443,NEU
2444,NEU
2445,POS
2446,NEG
2447,NEG
2448,NEG
2449,NEG
2450,NEG
2451,NEG
2452,NEG
2453,POS
2454,NEU
2455,NEU
2456,NEU
2457,NEU
2458,NEU
2459,NEG
2460,NEG
2461,NEG
2462,NEG
2463,NEG
2464,NEU
2465,NEU
2466,NEU
2467,NEU
2468,NEG
2469,NEG
2470,NEG
2471,NEG
2472,NEG
2473,POS
2474,NEU
2475,NEU
2476,NEU
2477,POS
2478,POS
2479,POS
2480,POS
2481,NEU
2482,NEU
2483,NEU
2484,NEU
2485,NEU
2486,NEG
2487,NEG
2488,NEG
2489,NEG
2490,NEG
2491,NEG
2492,NEG
2493,NEU
2494,NEU
2495,NEU
2496,NEU
2497,NEU
2498,NEU
2499,NEU
2500,NEU
2501,POS
2502,POS
2503,POS
2504,NEU
2505,NEU
2506,NEU
2507,POS
2508,POS
2509,POS
2510,NEU
2511,NEU
2512,NEU
2513,NEU
2514,NEU
2515,NEU
2516,NEU
2517,NEU
2518,NEU
2519,NEU
2520,NEU
2521,NEU
2522,NEU
2523,NEG
2524,NEU
2525,NEU
2526,NEG
2527,NEG
2528,NEG
2529,NEU
2530,POS
2531,NEU
2532,NEU
2533,NEU
2534,NEU
2535,NEU
2536,NEU
2537,NEU
2538,NEU
2539,NEG
2540,POS
2541,NEU
2542,NEU
2543,NEU
2544,NEU
2545,NEG
2546,NEG
2547,NEG
2548,NEU
2549,NEG
2550,POS
2551,POS
2552,NEU
2553,POS
2554,POS
2555,NEG
2556,NEG
2557,NEU
2558,NEG
2559,NEG
2560,NEU
2561,NEU
2562,POS
2563,NEG
2564,NEG
2565,NEG
2566,NEG
2567,NEG
2568,NEG
2569,NEU
2570,NEU
2571,NEU
2572,POS
2573,POS
2574,NEU
2575,NEU
2576,NEU
2577,NEU
2578,NEU
2579,NEG
2580,NEU
2581,NEU
2582,POS
2583,POS
2584,POS
2585,POS
2586,POS
2587,NEU
2588,NEU
2589,NEU
2590,NEU
2591,NEU
2592,NEG
2593,POS
2594,POS
2595,POS
2596,NEG
2597,NEG
2598,NEG
2599,POS
2600,NEU
2601,NEU
2602,NEU
2603,NEG
2604,NEG
2605,NEG
2606,NEG
2607,NEU
2608,NEU
2609,POS
2610,POS
2611,POS
2612,POS
2613,NEU
2614,NEU
2615,NEU
2616,NEU
2617,NEU
2618,NEU
2619,POS
2620,POS
2621,POS
2622,POS
2623,POS
2624,POS
2625,POS
2626,POS
2627,POS
2628,NEU
2629,NEU
2630,NEU
2631,POS
2632,POS
2633,POS
2634,NEG
2635,NEG
2636,POS
2637,POS
2638,POS
2639,POS
2640,NEU
2641,NEU
2642,NEU
2643,POS
2644,POS
2645,POS
2646,POS
2647,POS
2648,POS
2649,POS
2650,POS
2651,POS
2652,POS
2653,POS
2654,POS
2655,POS
2656,POS
2657,POS
2658,POS
2659,POS
2660,POS
2661,POS
2662,POS
2663,POS
2664,NEG
2665,POS
2666,POS
2667,POS
2668,POS
2669,NEU
2670,POS
2671,POS
2672,NEG
2673,NEU
2674,NEU
2675,NEU
2676,NEG
2677,POS
2678,POS
2679,POS
2680,POS
2681,POS
2682,POS
2683,POS
2684,POS
2685,POS
2686,POS
2687,POS
2688,POS
2689,POS
2690,POS
2691,POS
2692,POS
2693,POS
2694,POS
2695,NEG
2696,NEG
2697,NEG
2698,NEG
2699,POS
2700,POS
2701,POS
2702,POS
2703,POS
2704,POS
2705,POS
2706,POS
2707,POS
2708,POS
2709,NEU
2710,NEU
2711,NEG
2712,NEG
2713,NEG
2714,NEG
2715,NEG
2716,NEG
2717,NEG
2718,NEG
2719,POS
2720,NEU
2721,NEU
2722,NEU
2723,NEU
2724,NEU
2725,POS
2726,POS
2727,NEG
2728,NEG
2729,NEG
2730,POS
2731,POS
2732,NEU
2733,NEU
2734,NEU
2735,POS
2736,POS
2737,POS
2738,NEU
2739,NEU
2740,NEU
2741,NEG
2742,NEG
2743,NEG
2744,NEG
2745,NEG
2746,NEG
2747,NEG
2748,NEU
2749,NEU
2750,NEU
2751,NEG
2752,NEG
2753,NEG
2754,NEG
2755,NEG
2756,NEG
2757,NEG
2758,NEG
2759,NEG
2760,NEG
2761,NEG
2762,NEG
2763,NEU
2764,NEG
2765,NEG
2766,NEG
2767,NEG
2768,NEG
2769,NEG
2770,NEG
2771,NEG
2772,NEG
2773,NEG
2774,NEG
2775,NEG
2776,NEG
2777,NEG
2778,NEG
2779,NEG
2780,NEG
2781,NEG
2782,NEG
2783,NEG
2784,NEG
2785,NEG
2786,NEU
2787,POS
2788,POS
2789,POS
2790,NEU
2791,NEG
2792,NEG
2793,NEG
2794,NEG
2795,NEG
2796,NEG
2797,NEG
2798,NEG
2799,NEG
2800,NEG
2801,NEG
2802,NEG
2803,NEU
2804,NEU
2805,NEU
2806,NEG
2807,NEG
2808,NEG
2809,NEU
2810,NEG
2811,NEG
2812,NEU
2813,NEU
2814,NEG
2815,NEG
2816,NEG
2817,NEG
2818,NEU
2819,NEU
2820,NEU
2821,NEU
2822,NEU
2823,POS
2824,POS
2825,POS
2826,NEG
2827,NEG
2828,NEG
2829,NEG
2830,NEG
2831,NEG
2832,NEG
2833,NEG
2834,NEG
2835,NEG
2836,NEG
2837,NEU
2838,NEG
2839,NEG
2840,NEG
2841,NEG
2842,NEG
2843,NEG
2844,NEG
2845,NEG
2846,POS
2847,NEG
2848,NEG
2849,NEG
2850,NEG
2851,NEG
2852,NEG
2853,NEG
2854,POS
2855,POS
2856,NEG
2857,NEG
2858,NEG
2859,NEG
2860,POS
2861,POS
2862,POS
2863,NEG
2864,NEG
2865,NEG
2866,NEG
2867,NEG
2868,NEG
2869,NEG
2870,NEG
2871,NEG
2872,NEU
2873,NEG
2874,NEG
2875,NEG
2876,NEG
2877,POS
2878,NEG
2879,NEG
2880,NEG
2881,NEG
2882,NEG
2883,NEG
2884,NEG
2885,NEG
2886,NEG
2887,NEG
2888,NEU
2889,POS
2890,NEU
2891,NEU
2892,NEG
2893,NEG
2894,NEG
2895,NEG
2896,NEG
2897,NEG
2898,NEG
2899,NEG
2900,NEU
2901,NEU
2902,NEU
2903,NEU
2904,NEU
2905,NEU
2906,POS
2907,POS
2908,POS
2909,NEU
2910,NEU
2911,NEG
2912,NEG
2913,NEG
2914,NEG
2915,POS
2916,POS
2917,NEG
2918,NEG
2919,NEG
2920,NEU
2921,POS
2922,POS
2923,POS
2924,NEU
2925,POS
2926,POS
2927,POS
2928,NEU
2929,NEU
2930,NEG
2931,NEG
2932,NEG
2933,NEG
2934,NEG
2935,NEG
2936,NEU
2937,NEG
2938,NEG
2939,POS
2940,POS
2941,NEU
2942,NEU
2943,NEG
2944,NEG
2945,NEG
2946,NEG
2947,NEG
2948,NEG
2949,NEU
2950,NEU
2951,NEU
2952,NEU
2953,NEG
2954,NEG
2955,NEU
2956,NEU
2957,NEU
2958,NEU
2959,NEU
2960,POS
2961,POS
2962,POS
2963,POS
2964,POS
2965,POS
2966,POS
2967,NEG
2968,NEG
2969,NEG
2970,POS
2971,POS
2972,POS
2973,POS
2974,POS
2975,NEG
2976,NEG
2977,NEG
2978,NEU
2979,POS
2980,NEG
2981,NEG
2982,NEG
2983,NEU
2984,NEU
2985,POS
2986,NEG
2987,POS
2988,NEU
2989,NEU
2990,NEU
2991,NEU
2992,NEG
2993,NEG
2994,NEG
2995,NEG
2996,NEG
2997,NEG
2998,NEG
2999,NEG
3000,NEG
3001,NEG
3002,POS
3003,NEG
3004,NEG
3005,NEG
3006,NEG
3007,NEG
3008,NEG
3009,NEU
3010,NEU
3011,NEG
3012,NEG
3013,NEG
3014,POS
3015,POS
3016,NEG
3017,NEU
3018,NEG
3019,NEU
3020,NEG
3021,NEG
3022,NEG
3023,NEG
3024,NEG
3025,NEG
3026,NEG
3027,NEG
3028,NEG
3029,NEG
3030,NEG
3031,NEU
3032,NEU
3033,POS
3034,NEG
3035,NEG
3036,NEG
3037,NEG
3038,NEU
3039,POS
3040,POS
3041,POS
3042,POS
3043,NEG
3044,NEG
3045,POS
3046,NEG
3047,NEG
3048,NEG
3049,NEG
3050,NEG
3051,POS
3052,POS
3053,NEG
3054,NEG
3055,NEG
3056,NEG
3057,NEG
3058,NEG
3059,NEG
3060,NEG
3061,NEG
3062,NEG
3063,NEG
3064,NEU
3065,NEU
3066,NEU
3067,NEU
3068,POS
3069,NEG
3070,NEG
3071,NEG
3072,NEG
3073,NEG
3074,NEG
3075,NEG
3076,NEG
3077,POS
3078,POS
3079,NEG
3080,NEG
3081,POS
3082,NEU
3083,NEG
3084,NEG
3085,NEG
3086,NEG
3087,NEG
3088,NEG
3089,NEG
3090,NEG
3091,NEG
3092,NEG
3093,NEG
3094,NEG
3095,POS
3096,POS
3097,POS
3098,POS
3099,NEG
3100,NEG
3101,NEG
3102,NEG
3103,NEG
3104,NEG
3105,NEG
3106,POS
3107,NEG
3108,NEG
3109,NEG
3110,NEG
3111,NEG
3112,NEG
3113,NEG
3114,NEG
3115,POS
3116,POS
3117,POS
3118,NEU
3119,NEU
3120,POS
3121,POS
3122,NEG
3123,NEG
3124,NEU
3125,NEU
3126,NEU
3127,POS
3128,POS
3129,POS
3130,NEG
3131,NEG
3132,NEG
3133,NEG
3134,NEG
3135,NEG
3136,NEG
3137,NEG
3138,NEG
3139,NEG
3140,NEG
3141,NEG
3142,NEG
3143,NEG
3144,NEG
3145,NEG
3146,POS
3147,NEG
3148,NEG
3149,NEG
3150,NEG
3151,NEG
3152,NEG
3153,NEG
3154,NEU
3155,NEU
3156,NEU
3157,NEU
3158,POS
3159,POS
3160,NEU
3161,NEU
3162,NEU
3163,NEU
3164,NEG
3165,NEG
3166,NEG
3167,NEG
3168,NEG
3169,NEG
3170,NEG
3171,NEG
3172,NEG
3173,NEG
3174,NEU
3175,NEU
3176,NEU
3177,NEU
3178,NEU
3179,NEG
3180,NEG
3181,NEU
3182,NEU
3183,NEG
3184,NEG
3185,NEU
3186,NEU
3187,NEU
3188,NEG
3189,NEG
3190,NEG
3191,NEG
3192,NEG
3193,NEG
3194,NEG
3195,NEG
3196,NEG
3197,POS
3198,POS
3199,POS
3200,NEG
3201,NEG
3202,NEG
3203,NEG
3204,NEU
3205,NEU
3206,NEU
3207,NEU
3208,NEU
3209,NEG
3210,NEG
3211,NEU
3212,NEG
3213,NEG
3214,NEU
3215,NEU
3216,NEG
3217,NEG
3218,NEG
3219,NEG
3220,NEG
3221,NEG
3222,NEU
3223,NEG
3224,NEG
3225,NEG
3226,NEG
3227,NEG
3228,NEG
3229,NEG
3230,NEG
3231,NEG
3232,NEG
3233,NEG
3234,NEG
3235,NEG
3236,NEU
3237,POS
3238,NEG
3239,NEG
3240,NEG
3241,NEG
3242,NEG
3243,NEU
3244,NEU
3245,NEU
3246,NEG
3247,NEG
3248,NEG
3249,NEG
3250,NEG
3251,NEG
3252,NEG
3253,NEG
3254,NEG
3255,NEG
3256,NEG
3257,NEG
3258,NEG
3259,NEU
3260,NEU
3261,NEU
3262,NEU
3263,NEU
3264,NEU
3265,NEG
3266,NEG
3267,NEG
3268,NEG
3269,NEG
3270,NEG
3271,NEG
3272,NEG
3273,NEG
3274,NEG
3275,NEG
3276,NEG
3277,NEG
3278,NEG
3279,NEG
3280,NEG
3281,NEG
3282,NEG
3283,POS
3284,POS
3285,NEG
3286,NEG
3287,NEG
3288,NEG
3289,NEG
3290,NEG
3291,NEG
3292,NEG
3293,NEG
3294,NEG
3295,NEG
3296,NEG
3297,NEG
3298,NEG
3299,NEG
3300,NEG
3301,NEG
3302,POS
3303,NEU
3304,NEU
3305,NEU
3306,NEU
3307,NEU
3308,NEU
3309,NEU
3310,NEU
3311,NEU
3312,NEU
3313,NEU
3314,NEG
3315,NEG
3316,NEG
3317,NEG
3318,NEU
3319,NEU
3320,NEG
3321,NEG
3322,NEG
3323,NEG
3324,NEG
3325,POS
3326,POS
3327,NEU
3328,NEU
3329,NEU
3330,NEU
3331,NEU
3332,NEG
3333,NEU
3334,NEU
3335,NEG
3336,NEG
3337,NEG
3338,NEG
3339,NEG
3340,NEG
3341,NEU
3342,NEU
3343,NEU
3344,NEU
3345,NEU
3346,NEU
3347,NEU
3348,NEU
3349,NEG
3350,NEG
3351,NEU
3352,NEU
3353,POS
3354,POS
3355,NEG
3356,NEG
3357,NEG
3358,NEG
3359,NEG
3360,NEG
3361,NEG
3362,NEG
3363,NEU
3364,NEU
3365,POS
3366,POS
3367,NEG
3368,NEG
3369,NEG
3370,NEG
3371,NEG
3372,NEG
3373,NEG
3374,NEG
3375,NEG
3376,NEG
3377,NEG
3378,NEG
3379,NEG
3380,NEG
3381,NEG
3382,NEG
3383,NEG
3384,NEG
3385,NEG
3386,NEG
3387,NEG
3388,NEG
3389,NEG
3390,NEG
3391,NEG
3392,NEG
3393,NEG
3394,NEG
3395,NEG
3396,NEG
3397,NEG
3398,NEU
3399,NEU
3400,NEU
3401,POS
3402,POS
3403,POS
3404,POS
3405,NEG
3406,NEG
3407,NEG
3408,POS
3409,NEG
3410,NEG
3411,NEG
3412,NEG
3413,POS
3414,POS
3415,POS
3416,POS
3417,NEU
3418,NEU
3419,NEU
3420,POS
3421,POS
3422,POS
3423,POS
3424,NEG
3425,NEG
3426,NEG
3427,NEG
3428,POS
3429,POS
3430,POS
3431,POS
3432,NEU
3433,POS
3434,POS
3435,POS
3436,POS
3437,POS
3438,NEU
3439,NEU
3440,POS
3441,NEG
3442,NEG
3443,NEG
3444,POS
3445,NEU
3446,NEU
3447,NEG
3448,POS
3449,POS
3450,NEG
3451,NEG
3452,NEG
3453,NEG
3454,NEG
3455,NEG
3456,NEG
3457,NEG
3458,NEG
3459,NEG
3460,POS
3461,POS
3462,POS
3463,POS
3464,POS
3465,POS
3466,POS
3467,NEG
3468,NEG
3469,NEG
3470,POS
3471,POS
3472,NEG
3473,NEG
3474,POS
3475,POS
3476,POS
3477,POS
3478,POS
3479,POS
3480,NEG
3481,NEG
3482,NEG
3483,NEG
3484,NEG
3485,NEG
3486,NEG
3487,POS
3488,POS
3489,POS
3490,NEG
3491,NEG
3492,NEG
3493,POS
3494,POS
3495,POS
3496,NEU
3497,NEU
3498,NEG
3499,NEG
3500,NEG
3501,NEG
3502,NEG
3503,NEG
3504,NEG
3505,POS
3506,POS
3507,POS
3508,POS
3509,POS
3510,POS
3511,NEU
3512,NEU
3513,NEU
3514,NEU
3515,NEU
3516,NEG
3517,NEG
3518,NEG
3519,NEG
3520,NEG
3521,NEG
3522,NEG
3523,NEG
3524,NEG
3525,NEU
3526,NEU
3527,NEU
3528,NEU
3529,NEU
3530,NEU
3531,POS
3532,POS
3533,POS
3534,POS
3535,POS
3536,POS
3537,POS
3538,NEG
3539,NEG
3540,NEG
3541,NEG
3542,NEG
3543,NEG
3544,NEG
3545,NEG
3546,NEU
3547,NEU
3548,POS
3549,POS
3550,POS
3551,NEU
3552,NEU
3553,NEG
3554,NEG
3555,NEG
3556,NEG
3557,NEG
3558,NEG
3559,POS
3560,POS
3561,NEG
3562,NEG
3563,NEU
3564,NEU
3565,NEG
3566,NEG
3567,NEG
3568,NEG
3569,NEG
3570,POS
3571,POS
3572,NEG
3573,NEG
3574,NEG
3575,NEG
3576,NEG
3577,NEG
3578,NEG
3579,NEG
3580,POS
3581,POS
3582,POS
3583,NEG
3584,NEU
3585,NEU
3586,NEU
3587,NEG
3588,NEG
3589,NEG
3590,NEG
3591,NEU
3592,NEU
3593,NEU
3594,NEU
3595,NEU
3596,NEU
3597,NEG
3598,NEG
3599,NEG
3600,POS
3601,POS
3602,POS
3603,NEG
3604,NEG
3605,NEG
3606,NEG
3607,NEG
3608,NEG
3609,NEG
3610,NEU
3611,NEU
3612,NEG
3613,NEG
3614,POS
3615,POS
3616,POS
3617,POS
3618,POS
3619,NEG
3620,NEG
3621,NEG
3622,NEG
3623,NEG
3624,NEG
3625,NEG
3626,NEG
3627,NEG
3628,NEG
3629,NEG
3630,NEG
3631,NEG
3632,NEG
3633,NEG
3634,NEG
3635,NEG
3636,NEG
3637,NEG
3638,POS
3639,POS
3640,NEG
3641,NEU
3642,NEU
3643,NEU
3644,NEU
3645,NEG
3646,NEG
3647,NEG
3648,NEG
3649,NEU
3650,NEU
3651,NEU
3652,NEU
3653,NEU
3654,NEU
3655,POS
3656,POS
3657,NEG
3658,NEG
3659,NEG
3660,NEG
3661,NEG
3662,NEG
3663,NEG
3664,NEG
3665,NEG
3666,NEG
3667,NEG
3668,NEG
3669,NEG
3670,NEG
3671,NEG
3672,NEG
3673,NEU
3674,NEU
3675,NEG
3676,NEG
3677,NEG
3678,NEG
3679,NEG
3680,NEG
3681,NEG
3682,NEG
3683,NEG
3684,NEG
3685,NEG
3686,NEG
3687,POS
3688,POS
3689,POS
3690,POS
3691,POS
3692,POS
3693,POS
3694,POS
3695,POS
3696,NEG
3697,NEG
3698,NEG
3699,NEG
3700,NEG
3701,NEG
3702,POS
3703,POS
3704,POS
3705,NEG
3706,NEG
3707,NEG
3708,NEG
3709,NEG
3710,NEG
3711,NEG
3712,NEU
3713,NEU
3714,NEU
3715,NEU
3716,POS
3717,POS
3718,POS
3719,NEG
3720,NEG
3721,NEG
3722,POS
3723,POS
3724,NEG
3725,NEG
3726,NEG
3727,NEG
3728,NEG
3729,NEG
3730,NEG
3731,NEG
3732,NEG
3733,NEG
3734,NEG
3735,NEG
3736,NEG
3737,NEG
3738,NEG
3739,NEG
3740,NEG
3741,NEG
3742,NEU
3743,NEU
3744,NEG
3745,NEG
3746,NEG
3747,NEG
3748,NEG
3749,NEG
3750,NEG
3751,NEG
3752,NEG
3753,NEU
3754,NEU
3755,NEG
3756,NEG
3757,NEG
3758,NEG
3759,NEG
3760,NEG
3761,NEG
3762,NEG
3763,NEG
3764,POS
3765,POS
3766,POS
3767,NEG
3768,NEG
3769,NEG
3770,NEG
3771,NEG
3772,NEG
3773,POS
3774,POS
3775,NEG
3776,NEG
3777,NEG
3778,NEG
3779,NEG
3780,NEG
3781,NEG
3782,NEG
3783,NEG
3784,NEG
3785,NEG
3786,NEG
3787,POS
3788,POS
3789,POS
3790,POS
3791,NEU
3792,NEU
3793,NEG
3794,NEG
3795,NEG
3796,NEG
3797,NEG
3798,NEG
3799,NEG
3800,NEG
3801,NEG
3802,NEG
3803,NEG
3804,NEG
3805,NEG
3806,NEG
3807,NEG
3808,NEG
3809,POS
3810,POS
3811,POS
3812,POS
3813,POS
3814,NEG
3815,NEG
3816,NEG
3817,POS
3818,POS
3819,POS
3820,NEU
3821,NEU
3822,NEU
3823,NEU
3824,NEU
3825,NEU
3826,NEU
3827,NEU
3828,NEU
3829,NEU
3830,POS
3831,POS
3832,POS
3833,NEG
3834,NEG
3835,POS
3836,POS
3837,POS
3838,POS
3839,POS
3840,NEU
3841,NEU
3842,NEU
3843,NEG
3844,NEG
3845,NEG
3846,NEG
3847,NEG
3848,POS
3849,POS
3850,POS
3851,POS
3852,POS
3853,POS
3854,NEU
3855,NEU
3856,POS
3857,POS
3858,NEU
3859,NEG
3860,NEG
3861,NEG
3862,POS
3863,POS
3864,POS
3865,POS
3866,POS
3867,POS
3868,POS
3869,POS
3870,NEU
3871,POS
3872,POS
3873,POS
3874,POS
3875,POS
3876,POS
3877,POS
3878,POS
3879,POS
3880,POS
3881,POS
3882,POS
3883,POS
3884,POS
3885,POS
3886,POS
3887,NEG
3888,POS
3889,POS
3890,NEU
3891,NEU
3892,NEU
3893,NEG
3894,POS
3895,POS
3896,POS
3897,POS
3898,POS
3899,POS
3900,POS
3901,NEG
3902,NEG
3903,NEG
3904,NEG
3905,NEG
3906,NEG
3907,NEU
3908,NEU
3909,NEU
3910,NEU
3911,NEU
3912,NEU
3913,NEU
3914,NEU
3915,POS
3916,POS
3917,POS
3918,POS
3919,POS
3920,NEG
3921,NEU
3922,POS
3923,POS
3924,POS
3925,POS
3926,POS
3927,POS
3928,NEG
3929,NEG
3930,NEG
3931,NEG
3932,NEG
3933,NEG
3934,NEG
3935,NEG
3936,NEG
3937,NEG
3938,NEG
3939,POS
3940,POS
3941,POS
3942,POS
3943,POS
3944,NEU
3945,NEU
3946,NEU
3947,NEU
3948,NEU
3949,NEU
3950,NEU
3951,NEG
3952,NEG
3953,POS
3954,NEG
3955,NEG
3956,NEG
3957,NEG
3958,NEG
3959,NEG
3960,NEG
3961,NEG
3962,POS
3963,POS
3964,POS
3965,POS
3966,POS
3967,NEU
3968,NEG
3969,NEG
3970,NEG
3971,POS
3972,NEG
3973,NEG
3974,NEG
3975,POS
3976,POS
3977,POS
3978,NEG
3979,NEG
3980,NEG
3981,NEG
3982,NEG
3983,POS
3984,POS
3985,NEG
3986,NEG
3987,NEG
3988,NEG
3989,NEG
3990,POS
3991,POS
3992,POS
3993,NEU
3994,NEU
3995,NEG
3996,NEG
3997,POS
3998,POS
3999,NEG
4000,NEG
4001,NEG
4002,NEU
4003,NEU
4004,NEU
4005,NEG
4006,NEG
4007,NEG
4008,NEU
4009,NEU
4010,NEU
4011,NEG
4012,NEG
4013,NEG
4014,NEG
4015,NEG
4016,NEG
4017,NEG
4018,NEG
4019,NEU
4020,NEU
4021,NEG
4022,NEG
4023,NEG
4024,NEG
4025,NEG
4026,NEG
4027,NEG
4028,NEG
4029,NEG
4030,NEU
4031,NEU
4032,NEU
4033,NEG
4034,NEG
4035,NEG
4036,NEG
4037,NEG
4038,NEG
4039,NEG
4040,NEG
4041,NEG
4042,NEG
4043,NEG
4044,NEG
4045,POS
4046,POS
4047,POS
4048,NEU
4049,NEU
4050,NEU
4051,NEU
4052,NEG
4053,NEG
4054,NEG
4055,NEG
4056,NEG
4057,NEG
4058,NEG
4059,NEG
4060,NEG
4061,NEG
4062,NEG
4063,NEG
4064,NEG
4065,NEG
4066,NEG
4067,NEU
4068,NEG
4069,NEG
4070,NEG
4071,NEU
4072,NEU
4073,NEG
4074,NEG
4075,NEG
4076,NEG
4077,NEG
4078,NEG
4079,NEG
4080,NEG
4081,NEG
4082,NEG
4083,NEG
4084,NEG
4085,NEG
4086,NEG
4087,POS
4088,POS
4089,POS
4090,POS
4091,NEU
4092,NEU
4093,NEG
4094,NEG
4095,NEG
4096,NEG
4097,NEG
4098,POS
4099,NEG
4100,NEG
4101,NEU
4102,NEU
4103,NEG
4104,NEG
4105,NEG
4106,NEU
4107,NEU
4108,NEU
4109,NEU
4110,NEU
4111,NEU
4112,NEG
4113,NEG
4114,NEG
4115,NEG
4116,NEG
4117,NEG
4118,NEU
4119,NEU
4120,NEU
4121,NEU
4122,NEU
4123,NEU
4124,NEU
4125,NEU
4126,NEU
4127,NEU
4128,NEU
4129,NEU
4130,NEU
4131,NEU
4132,NEU
4133,NEU
4134,NEU
4135,NEU
4136,NEU
4137,NEU
4138,POS
4139,POS
4140,POS
4141,NEU
4142,NEU
4143,NEG
4144,NEG
4145,NEU
4146,NEU
4147,NEU
4148,NEU
4149,NEU
4150,NEU
4151,NEU
4152,POS
4153,POS
4154,POS
4155,NEG
4156,NEG
4157,NEG
4158,NEG
4159,NEG
4160,POS
4161,POS
4162,POS
4163,NEU
4164,NEU
4165,POS
4166,POS
4167,NEU
4168,NEU
4169,POS
4170,POS
4171,POS
4172,NEG
4173,NEG
4174,NEG
4175,POS
4176,POS
4177,POS
4178,NEU
4179,NEU
4180,NEU
4181,POS
4182,NEU
4183,NEG
4184,NEG
4185,NEG
4186,NEG
4187,POS
4188,POS
4189,POS
4190,POS
4191,POS
4192,POS
4193,POS
4194,POS
4195,POS
4196,POS
4197,POS
4198,POS
4199,POS
4200,NEU
4201,NEU
4202,NEU
4203,NEU
4204,NEU
4205,POS
4206,POS
4207,POS
4208,POS
4209,NEU
4210,NEU
4211,NEU
4212,POS
4213,NEG
4214,NEG
4215,NEG
4216,NEG
4217,NEG
4218,POS
4219,POS
4220,POS
4221,NEG
4222,NEG
4223,NEU
4224,NEG
4225,NEG
4226,NEG
4227,NEG
4228,NEU
4229,NEU
4230,POS
4231,NEU
4232,NEU
4233,POS
4234,POS
4235,NEU
4236,NEU
4237,NEU
4238,NEU
4239,NEU
4240,POS
4241,POS
4242,POS
4243,POS
4244,POS
4245,POS
4246,POS
4247,POS
4248,POS
4249,POS
4250,POS
4251,NEG
4252,NEG
4253,NEG
4254,NEG
4255,NEU
4256,NEG
4257,NEU
4258,NEU
4259,NEU
4260,NEU
4261,NEU
4262,NEU
4263,NEU
4264,POS
4265,POS
4266,POS
4267,POS
4268,NEG
4269,NEG
4270,NEG
4271,NEG
4272,NEG
4273,POS
4274,NEU
4275,NEU
4276,NEU
4277,NEU
4278,NEG
4279,NEG
4280,NEU
4281,NEU
4282,NEG
4283,NEG
4284,NEG
4285,NEG
4286,NEU
4287,NEU
4288,NEU
4289,NEU
4290,POS
4291,POS
4292,POS
4293,NEU
4294,NEU
4295,NEG
4296,NEG
4297,NEG
4298,NEG
4299,NEG
4300,NEU
4301,NEU
4302,NEU
4303,NEU
4304,NEU
4305,NEU
4306,NEU
4307,NEU
4308,NEU
4309,POS
4310,POS
4311,NEU
